equipment_id,sensor_id
1,4275
2,5212
3,7381
4,396
5,1645
6,9532
7,3328
8,8461
9,2173
10,3499
11,8551
12,3965
13,8271
14,2768
1,8725
2,3167
3,6078
4,7001
5,5477
6,2278
7,232
8,5857
9,4938
10,7890
11,1203
12,9624
13,4223
14,1797
1,5627
2,4957
3,1073
4,2823
5,4814
6,4125
7,7570
8,1213
9,2314
10,570
11,6238
12,6789
13,8103
14,6598
1,4093
2,2191
3,2006
4,2588
5,3588
6,8500
7,5948
8,3867
9,8812
10,1476
11,2679
12,3297
13,9974
14,2295
1,3193
2,1088
3,6439
4,2440
5,7064
6,4356
7,9036
8,3891
9,2609
10,5691
11,1020
12,6142
13,4395
14,2906
1,9286
2,4466
3,6658
4,285
5,3689
6,7122
7,2777
8,5255
9,3451
10,9652
11,4630
12,5245
13,9493
14,4697
1,8738
2,6502
3,9812
4,1383
5,8768
6,1102
7,7312
8,8907
9,7451
10,441
11,4214
12,4449
13,9129
14,1843
1,388
2,8150
3,827
4,4027
5,4031
6,6938
7,5612
8,4160
9,3016
10,7086
11,5799
12,7442
13,655
14,7624
1,2016
2,9019
3,4340
4,7556
5,207
6,4320
7,8564
8,5587
9,1820
10,6586
11,9975
12,6029
13,8309
14,8761
1,3029
2,9686
3,3168
4,3032
5,3257
6,1111
7,1679
8,5243
9,4336
10,1781
11,2079
12,3980
13,3705
14,126
1,8726
2,2154
3,2894
4,1564
5,4759
6,4209
7,2303
8,3442
9,4968
10,9422
11,4700
12,3226
13,8403
14,4200
1,5396
2,2216
3,8612
4,5877
5,5004
6,7237
7,6964
8,5876
9,694
10,4555
11,4297
12,5793
13,8436
14,2087
1,751
2,8211
3,5821
4,115
5,6180
6,9
7,2582
8,9720
9,9031
10,6561
11,4237
12,4955
13,4703
14,2943
1,6670
2,1099
3,4083
4,6476
5,5993
6,3789
7,9423
8,8227
9,836
10,9261
11,6740
12,5839
13,3701
14,3773
1,3143
2,6668
3,9670
4,4490
5,6892
6,7671
7,1638
8,4470
9,1508
10,380
11,1201
12,1261
13,7104
14,4041
1,5513
2,4078
3,1392
4,3060
5,9362
6,9922
7,5197
8,332
9,9055
10,1726
11,3097
12,1514
13,1758
14,5459
1,2431
2,5918
3,7769
4,7040
5,7503
6,2203
7,4967
8,4061
9,6043
10,7388
11,5356
12,7254
13,9373
